fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,player,pos,tm
12.5,51.8,0.2028,7.5,29.25,0.2048,6.0,17.5,0.2145,0.2025,6.5,7.15,1.6,4.5,6.5,7.0,4.8999999999999995,0.5,7.2,12.35,51.099999999999994,2023,Bryn Forbes,SG,MIN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,Buddy Boeheim,PG,DET
128.0,355.5,0.27,128.05,300.95,0.34,49.2,99.2,0.27280000000000004,0.2945,35.0,44.550000000000004,18.0,107.5,127.5,57.2,41.3,9.350000000000001,69.3,66.3,634.9,2023,Buddy Hield,SF,IND
74.4,179.20000000000002,0.24899999999999997,11.05,39.65,0.22320000000000004,45.6,114.1,0.233,0.2265,28.8,32.25,4.800000000000001,34.1,40.7,57.6,8.0,3.5,27.299999999999997,22.1,179.25,2023,Cade Cunningham,PG,DET
16.0,52.5,0.2286,18.2,50.050000000000004,0.2912,4.800000000000001,11.200000000000001,0.23595000000000002,0.257,5.5,7.15,9.450000000000001,24.0,34.5,7.2,3.5,1.6500000000000001,7.0,27.95,83.3,2023,Caleb Houstan,SF,ORL
96.6,173.5,0.34800000000000003,29.0,75.5,0.24960000000000002,61.8,117.6,0.34190000000000004,0.274,22.5,34.199999999999996,33.6,96.85000000000001,133.25,28.400000000000002,25.8,9.75,36.0,61.599999999999994,297.5,2023,Caleb Martin,PF,MIA
24.400000000000002,68.0,0.2694,11.05,36.4,0.2432,17.6,32.0,0.30250000000000005,0.2555,14.5,18.150000000000002,3.15,12.0,15.5,8.0,10.5,4.4,10.5,20.8,117.6,2023,Cam Reddish,SF,NYK
40.0,128.1,0.2622,12.75,33.0,0.3088,25.200000000000003,69.5,0.2265,0.242,27.0,37.95,1.2000000000000002,20.5,22.0,20.5,8.399999999999999,2.0,20.8,18.85,161.7,2023,Cam Thomas,SG,BRK
40.199999999999996,73.0,0.34425,19.5,44.0,0.28795000000000004,16.8,34.8,0.31395,0.296,11.5,17.4,7.199999999999999,29.25,37.050000000000004,8.8,7.199999999999999,3.9000000000000004,4.5,18.2,137.2,2023,Cameron Johnson,PF,PHO
101.60000000000001,246.4,0.24719999999999998,31.200000000000003,82.55,0.3024,47.4,126.69999999999999,0.218,0.245,30.400000000000002,36.75,3.6,30.250000000000004,35.2,118.4,20.0,2.5,38.5,37.050000000000004,255.0,2023,Cameron Payne,PG,PHO
109.5,373.09999999999997,0.24659999999999999,61.5,164.25,0.2992,54.800000000000004,157.0,0.218,0.244,45.5,70.95,14.4,77.5,95.5,93.0,26.599999999999998,6.0,64.0,71.5,427.7,2023,Caris LeVert,SG,CLE
