tm,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry
OKC,73.81153846153846,174.23076923076923,0.2963019230769231,22.998076923076926,72.10576923076923,0.2042576923076923,45.39999999999999,97.63076923076923,0.30139807692307696,0.25769615384615385,30.200000000000003,41.330769230769235,18.253846153846155,66.8,86.92115384615386,38.03076923076923,16.534615384615385,9.038461538461538,30.98846153846154,39.426923076923075,233.625,892.0
ORL,86.38181818181819,198.4272727272727,0.2757136363636363,26.61818181818182,80.93181818181819,0.22259318181818183,54.7,115.0,0.27951136363636364,0.24802272727272728,35.85454545454546,48.175,20.363636363636363,81.69545454545455,103.70227272727274,50.77272727272727,17.436363636363634,11.111363636363636,38.24318181818182,50.804545454545455,276.55454545454546,728.0
PHI,88.81739130434784,176.5695652173913,0.31658478260869566,25.047826086956523,69.30652173913043,0.16236521739130436,61.904347826086955,125.03043478260871,0.3130978260869565,0.2640347826086957,46.17391304347826,61.22173913043479,19.95,79.37173913043478,100.45652173913045,45.765217391304354,18.517391304347825,12.332608695652173,32.18913043478261,48.52826086956522,278.2326086956522,754.0
PHO,94.87826086956522,192.6217391304348,0.2890108695652174,25.91304347826087,71.2804347826087,0.18818260869565218,67.66956521739131,130.65652173913043,0.28164782608695654,0.24215652173913044,34.36521739130435,46.89565217391305,22.286956521739132,80.72608695652175,104.40869565217392,61.11739130434783,21.117391304347827,10.393478260869564,32.95652173913044,49.654347826086955,290.6673913043478,766.0
POR,65.98518518518519,160.29259259259257,0.29471111111111115,26.1462962962963,74.77592592592593,0.21260555555555558,43.14074074074074,89.27407407407408,0.2976055555555555,0.25894074074074075,30.288888888888888,42.74444444444445,18.744444444444444,60.38333333333334,80.52222222222224,37.74444444444445,16.61111111111111,8.133333333333335,31.32037037037037,44.01111111111112,228.27777777777777,956.0
SAC,82.1576923076923,172.34230769230768,0.2865576923076923,23.082692307692312,66.6076923076923,0.204625,56.838461538461544,113.64999999999999,0.2765480769230769,0.23572307692307692,34.51538461538461,49.33269230769231,18.85576923076923,68.375,88.62884615384615,42.52307692307692,15.534615384615384,9.225000000000001,32.544230769230765,42.27307692307693,247.81346153846152,1012.0
SAS,85.72083333333335,189.0583333333333,0.282925,25.008333333333336,71.18958333333333,0.18362916666666665,61.09166666666667,122.95,0.2777916666666667,0.23617083333333333,31.620833333333334,45.237500000000004,23.30416666666667,69.71666666666667,94.59375,54.770833333333336,18.491666666666667,11.03125,31.474999999999998,42.89791666666667,274.50624999999997,820.0
TOR,87.71739130434783,189.16521739130437,0.28053260869565216,26.29565217391304,74.64782608695653,0.19022391304347827,59.4,123.35217391304347,0.2891108695652174,0.23643913043478262,33.23478260869565,48.49130434782609,28.793478260869566,71.70652173913044,102.79565217391306,43.06521739130435,21.843478260869563,10.384782608695653,30.706521739130434,48.48260869565217,276.9043478260869,732.0
UTA,81.1625,177.82500000000002,0.32774375,32.24583333333333,90.10208333333333,0.18925,51.46666666666667,95.94583333333333,0.3482,0.27802083333333333,36.1875,53.087500000000006,23.477083333333336,78.66250000000001,103.6375,41.4375,17.070833333333333,11.841666666666667,34.22083333333333,44.90625,274.1770833333333,778.0
WAS,69.63103448275862,145.0103448275862,0.29694827586206896,18.42413793103448,53.80862068965517,0.1549103448275862,49.800000000000004,96.71724137931035,0.2865844827586207,0.2405,28.720689655172414,40.310344827586206,15.574137931034484,59.225862068965526,75.99310344827587,41.03103448275862,12.593103448275862,9.26551724137931,26.77758620689655,36.810344827586206,217.9362068965517,1126.0
